gene,Start,End,EcoCyc accession,locus_tag,30C_1_m,30C_1_f,te_1,30C_2_m,30C_2_f,te_2,30C_3_m,30C_3_f,te_3
ftsA,103982,105244,ECK0095,b0094,257.9,119.5,0.5,254.0,139.8,0.6,317.7,131.8,0.4
ftsB,2870842,2870531,ECK2743,b2748,151.4,44.3,0.3,272.8,93.9,0.3,290.6,69.2,0.2
ftsE,3600770,3600102,ECK3447,b3463,232.7,108.0,0.5,268.4,101.3,0.4,269.9,112.1,0.4
ftsH,3324957,3323023,ECK3167,b3178,647.0,300.1,0.5,748.7,287.7,0.4,846.9,345.2,0.4
ftsI,91413,93179,ECK0085,b0084,171.6,59.8,0.3,189.5,47.8,0.3,274.8,113.4,0.4
ftsK,932447,936436,ECK0881,b0890,104.3,53.7,0.5,114.6,61.5,0.5,108.5,65.2,0.6
ftsL,91032,91397,ECK0084,b0083,220.0,51.1,0.2,232.5,77.8,0.3,262.9,53.3,0.2
ftsN,4121362,4120403,ECK3925,b3933,103.1,55.6,0.5,143.2,71.5,0.5,151.2,95.3,0.6
ftsP,3160691,3159279,ECK3008,b3017,89.8,65.3,0.7,115.2,74.0,0.6,94.0,71.3,0.8
ftsQ,103155,103985,ECK0094,b0093,191.1,34.7,0.2,189.1,25.2,0.1,263.7,38.3,0.1
ftsW,98403,99647,ECK0090,b0089,108.0,33.6,0.3,112.7,39.7,0.4,157.8,55.3,0.4
ftsX,3600109,3599051,ECK3446,b3462,158.9,82.0,0.5,183.7,78.2,0.4,200.9,84.4,0.4
ftsY,3602266,3600773,ECK3448,b3464,212.9,239.8,1.1,208.5,231.4,1.1,232.1,255.9,1.1
ftsZ,105305,106456,ECK0096,b0095,545.9,814.6,1.5,500.9,723.7,1.4,586.5,594.9,1.0
fucA,2931710,2931063,ECK2795,b2800,1.4,1.8,1.3,1.4,1.3,0.9,1.2,0.0,0.0
fucI,2933606,2935381,ECK2797,b2802,2.3,7.0,3.1,2.1,5.7,2.7,4.3,3.5,0.8
fucK,2935460,2936908,ECK2798,b2803,5.9,2.1,0.4,5.8,3.5,0.6,6.3,0.0,0.0
fucO,2931035,2929887,ECK2794,b2799,4.3,5.1,1.2,4.9,0.7,0.1,2.8,3.6,1.3
fucP,2932257,2933573,ECK2796,b2801,0.7,0.0,0.0,0.0,0.0,#DIV/0!,0.6,2.3,3.9
fucR,2937390,2938121,ECK2800,b2805,38.1,27.9,0.7,16.6,21.7,1.3,29.3,19.7,0.7
fucU,2936910,2937332,ECK2799,b2804,37.2,38.2,1.0,15.5,13.9,0.9,17.9,26.7,1.5
fumA,1686401,1684755,ECK1607,b1612,89.0,191.9,2.2,78.4,122.5,1.6,85.7,117.3,1.4
fumB,4345349,4343703,ECK4115,b4122,7.9,21.5,2.7,4.5,11.7,2.6,3.1,6.2,2.0
fumC,1684612,1683209,ECK1606,b1611,20.5,50.5,2.5,36.6,66.8,1.8,30.9,45.4,1.5
fur,709869,709423,ECK0671,b0683,538.4,1005.7,1.9,705.1,1183.4,1.7,837.1,1108.0,1.3
fusA,3471536,3469422,ECK3327,b3340,11495.2,9950.9,0.9,9283.5,5890.7,0.6,10178.5,4817.5,0.5
fxsA,4366687,4367163,ECK4134,b4140,92.4,130.2,1.4,70.6,121.1,1.7,64.2,144.3,2.2
gabD,2789295,2790743,ECK2655,b2661,7.5,13.3,1.8,5.8,9.2,1.6,7.7,7.1,0.9
gabP,2792275,2793675,ECK2657,b2663,0.3,0.1,0.4,0.0,0.0,#DIV/0!,0.6,0.7,1.3
gabT,2790757,2792037,ECK2656,b2662,9.5,11.9,1.3,9.5,9.1,1.0,6.2,8.8,1.4
gadC,1568513,1566978,ECK1486,b1492,1.8,0.5,0.3,0.0,0.5,#DIV/0!,1.3,0.0,0.0
gadE,3656389,3656916,ECK3496,b3512,5.1,4.4,0.9,0.0,1.6,#DIV/0!,1.5,1.9,1.3
gadW,3662641,3661913,ECK3499,b3515,43.8,37.4,0.9,35.9,16.1,0.4,42.0,29.6,0.7
gadX,3663833,3663009,ECK3501,b3516,17.4,2.8,0.2,7.9,1.0,0.1,14.5,8.7,0.6
galE,791278,790262,ECK0748,b0759,67.7,189.5,2.8,50.6,125.1,2.5,49.3,107.1,2.2
galF,2112351,2111458,ECK2036,b2042,427.7,734.1,1.7,557.6,726.5,1.3,630.3,556.3,0.9
galK,789202,788054,ECK0746,b0757,76.3,57.4,0.8,61.1,22.6,0.4,87.6,39.3,0.4
galM,788060,787020,ECK0745,b0756,160.3,110.0,0.7,153.6,94.1,0.6,151.3,115.5,0.8
galP,3086306,3087700,ECK2938,b2943,28.7,34.1,1.2,43.6,40.2,0.9,38.5,57.5,1.5
galR,2974621,2975652,ECK2835,b2837,71.1,104.1,1.5,34.4,48.7,1.4,43.2,46.8,1.1
galS,2239690,2238650,ECK2144,b2151,3.9,0.2,0.0,5.4,0.0,0.0,3.8,2.0,0.5
galT,790252,789206,ECK0747,b0758,46.4,38.9,0.8,39.3,32.0,0.8,44.1,19.6,0.4
galU,1290680,1291588,ECK1231,b1236,430.1,1118.9,2.6,397.2,861.9,2.2,430.9,586.7,1.4
gapA,1860795,1861790,ECK1777,b1779,4503.1,17175.4,3.8,3862.3,9148.2,2.4,2782.4,6057.9,2.2
garD,3273304,3274875,ECK3116,b3128,6.3,8.4,1.3,5.4,3.2,0.6,3.8,3.9,1.0
garK,3269873,3268647,ECK3112,b3124,9.5,7.0,0.7,10.7,3.4,0.3,11.0,5.0,0.5
garL,3271579,3270809,ECK3114,b3126,2.3,2.3,1.0,0.0,2.2,#DIV/0!,3.1,1.3,0.4
garP,3272929,3271595,ECK3115,b3127,1.7,1.3,0.8,0.7,0.6,0.9,0.6,0.0,0.0
garR,3270779,3269889,ECK3113,b3125,12.6,28.8,2.3,10.5,11.3,1.1,6.7,9.2,1.4
gatA,2173071,2172619,ECK2087,b2094,138.0,152.1,1.1,103.2,88.7,0.9,141.3,74.9,0.5
gatB,2172588,2172304,ECK2086,b2093,94.7,66.9,0.7,59.1,35.2,0.6,69.8,36.1,0.5
gatC,2172300,2170945,ECK2085,b2092,64.0,43.1,0.7,56.6,29.6,0.5,51.6,33.3,0.6
gatD,2170897,2169857,ECK2084,b2091,13.4,24.7,1.8,11.7,28.1,2.4,11.5,13.8,1.2
gatY,2175226,2174372,ECK2089,b2096,955.0,1752.3,1.8,369.7,488.5,1.3,377.7,506.0,1.3
gatZ,2174343,2173081,ECK2088,b2095,367.6,604.3,1.6,221.4,240.6,1.1,214.1,189.6,0.9
gcd,141225,138835,ECK0123,b0124,66.6,68.2,1.0,109.9,80.2,0.7,104.9,101.9,1.0
gcl,533140,534921,ECK0500,b0507,3.8,3.6,1.0,3.1,1.9,0.6,2.0,5.2,2.6
gcvA,2940589,2939672,ECK2803,b2808,56.8,43.9,0.8,42.8,35.6,0.8,54.1,44.8,0.8
gcvH,3047571,3047182,ECK2899,b2904,153.4,391.9,2.6,151.1,336.9,2.2,170.3,239.8,1.4
gcvP,3047063,3044190,ECK2898,b2903,62.5,102.0,1.6,59.6,74.0,1.2,62.1,53.6,0.9
gcvR,2597928,2598500,ECK2475,b2479,204.1,197.8,1.0,146.9,124.2,0.8,137.4,152.4,1.1
gcvT,3048689,3047595,ECK2900,b2905,105.2,130.2,1.2,88.8,115.4,1.3,94.8,104.2,1.1
gdhA,1840395,1841738,ECK1759,b1761,368.9,763.6,2.1,272.1,429.7,1.6,229.0,311.9,1.4
gfcA,1048967,1048662,ECK0978,b0987,7.4,4.5,0.6,21.4,5.5,0.3,5.2,6.7,1.3
gfcB,1048555,1047911,ECK0977,b0986,2.1,0.0,0.0,1.5,0.0,0.0,0.6,0.0,0.0
gfcC,1047914,1047168,ECK0976,b0985,0.0,0.5,#DIV/0!,0.0,1.1,#DIV/0!,2.1,2.8,1.3
gfcD,1047168,1045072,ECK0975,b0984,0.9,0.5,0.5,1.8,0.4,0.2,2.3,2.0,0.9
gfcE,1045026,1043887,ECK0974,b0983,5.5,2.9,0.5,1.6,5.1,3.1,3.8,2.7,0.7
ggt,3584846,3583104,ECK3431,b3447,4.9,5.0,1.0,7.0,7.2,1.0,7.5,8.8,1.2
ghoS,4350607,4350903,ECK4121,b4128,34.8,91.8,2.6,3.1,5.6,1.8,0.0,3.5,#DIV/0!
ghoT,4350931,4351104,ECK4122,b4559,23.3,10.1,0.4,0.0,0.0,#DIV/0!,2.3,0.0,0.0
ghrA,1097109,1098047,ECK1019,b1033,59.9,158.0,2.6,50.8,82.0,1.6,41.9,82.1,2.0
ghrB,3715333,3716307,ECK3540,b3553,128.3,388.8,3.0,104.6,237.8,2.3,74.6,190.8,2.6
ghxP,4276502,4277851,ECK4057,b4064,61.0,52.4,0.9,109.5,117.2,1.1,102.2,128.6,1.3
ghxQ,3025143,3026510,ECK2880,b4464,5.6,1.7,0.3,9.6,4.3,0.4,4.9,0.0,0.0
glcA,3119301,3117619,ECK2969,b2975,2.1,0.7,0.3,1.1,1.0,0.9,2.6,3.7,1.4
glcB,3121827,3119656,ECK2970,b2976,22.2,52.6,2.4,17.2,33.5,1.9,15.2,21.3,1.4
glcC,3126294,3127058,ECK2975,b2980,9.4,2.0,0.2,9.8,5.5,0.6,11.4,5.4,0.5
glcD,3126043,3124544,ECK2974,b2979,1.5,0.1,0.1,1.9,0.6,0.3,1.9,2.1,1.1
glcE,3124544,3123492,ECK2973,b4468,2.1,0.2,0.1,3.6,0.8,0.2,1.9,1.0,0.5
glcF,3123481,3122258,ECK2972,b4467,6.2,1.0,0.2,7.6,0.0,0.0,8.4,0.0,0.0
glcG,3122253,3121849,ECK2971,b2977,24.4,39.4,1.6,23.1,41.3,1.8,19.6,25.4,1.3
gldA,4137058,4135955,ECK3937,b3945,35.0,102.8,2.9,9.3,3.8,0.4,7.2,8.4,1.2
glf,2106353,2105250,ECK2030,b2036,262.0,661.2,2.5,135.5,406.4,3.0,315.2,321.1,1.0
glgA,3566056,3564623,ECK3415,b3429,83.8,43.7,0.5,64.6,28.6,0.4,51.0,43.7,0.9
glgB,3571525,3569339,ECK3418,b3432,100.2,31.5,0.3,81.3,13.8,0.2,68.7,23.5,0.3
glgC,3567351,3566056,ECK3416,b3430,83.0,82.9,1.0,58.5,49.1,0.8,50.6,37.3,0.7
glgP,3564604,3562157,ECK3414,b3428,67.6,31.7,0.5,54.6,21.9,0.4,51.5,31.1,0.6
glgS,3189961,3189761,ECK3038,b3049,40.3,74.6,1.9,9.3,25.0,2.7,15.8,30.7,1.9
glgX,3569342,3567369,ECK3417,b3431,70.0,16.6,0.2,47.4,12.7,0.3,42.9,17.7,0.4
glk,2507448,2506483,ECK2384,b2388,104.3,248.5,2.4,48.4,104.8,2.2,63.4,133.0,2.1
glmM,3322092,3320755,ECK3165,b3176,361.1,533.6,1.5,343.2,451.0,1.3,309.4,416.2,1.3
glmS,3911691,3909862,ECK3722,b3729,696.7,953.6,1.4,654.7,654.1,1.0,533.3,561.5,1.1
glmU,3913223,3911853,ECK3723,b3730,593.2,562.9,0.9,670.6,553.1,0.8,699.3,522.4,0.7
glnA,4056057,4054648,ECK3863,b3870,129.2,397.5,3.1,161.2,379.9,2.4,101.8,269.6,2.6
glnB,2685430,2685092,ECK2550,b2553,256.1,644.4,2.5,245.5,530.8,2.2,321.4,539.5,1.7
glnD,188650,185978,ECK0165,b0167,32.5,22.9,0.7,31.5,15.3,0.5,26.9,17.7,0.7
glnE,3197663,3194823,ECK3043,b3053,62.7,36.0,0.6,60.2,24.5,0.4,59.8,29.3,0.5
glnG,4053301,4051892,ECK3861,b3868,39.6,20.3,0.5,50.4,20.8,0.4,36.1,17.5,0.5
glnH,847227,846481,ECK0800,b0811,41.6,149.6,3.6,63.9,162.5,2.5,54.3,107.3,2.0
glnK,471822,472160,ECK0444,b0450,0.0,0.6,#DIV/0!,0.0,0.0,#DIV/0!,1.2,0.0,0.0
glnL,4054362,4053313,ECK3862,b3869,45.4,11.9,0.3,33.0,9.6,0.3,32.2,17.6,0.5
glnP,846342,845683,ECK0799,b0810,31.4,15.6,0.5,35.4,26.6,0.8,48.2,21.8,0.5
glnQ,845686,844964,ECK0798,b0809,42.9,35.8,0.8,40.1,39.4,1.0,50.1,29.8,0.6
glnS,705316,706980,ECK0668,b0680,487.4,1060.4,2.2,446.6,772.2,1.7,406.0,612.8,1.5
gloA,1725861,1726268,ECK1647,b1651,180.8,576.5,3.2,139.8,416.4,3.0,160.8,400.4,2.5
gloB,234782,234027,ECK0212,b0212,39.3,67.0,1.7,19.8,38.8,2.0,20.5,44.9,2.2
glpA,2350669,2352297,ECK2233,b2241,362.9,613.4,1.7,27.6,24.1,0.9,25.9,74.4,2.9
glpB,2352287,2353546,ECK2234,b2242,48.2,55.8,1.2,20.0,21.9,1.1,19.9,26.9,1.4
glpC,2353543,2354733,ECK2235,b2243,18.9,29.1,1.5,13.4,11.9,0.9,11.0,16.4,1.5
glpD,3560036,3561541,ECK3412,b3426,2196.7,3516.6,1.6,2206.6,2980.6,1.4,2034.3,2618.6,1.3
glpE,3559846,3559520,ECK3411,b3425,141.7,210.8,1.5,191.6,399.3,2.1,229.8,317.4,1.4
glpF,4116113,4115268,ECK3919,b3927,147.8,148.0,1.0,117.2,86.1,0.7,88.4,102.0,1.2
glpG,3559475,3558645,ECK3410,b3424,102.3,60.2,0.6,198.1,94.7,0.5,179.5,119.9,0.7
glpK,4115245,4113737,ECK3918,b3926,335.4,922.9,2.8,346.5,641.2,1.9,267.5,473.2,1.8
glpQ,2349033,2347957,ECK2231,b2239,113.2,75.7,0.7,81.6,67.6,0.8,152.9,67.7,0.4
glpR,3558628,3557870,ECK3409,b3423,68.2,53.1,0.8,98.6,51.8,0.5,92.7,66.3,0.7
glpT,2350396,2349038,ECK2232,b2240,67.2,85.7,1.3,81.9,77.6,0.9,90.4,99.0,1.1
glpX,4113602,4112592,ECK3917,b3925,90.3,140.6,1.6,87.0,120.9,1.4,96.4,91.5,0.9
glrK,2689120,2687693,ECK2553,b2556,27.7,8.9,0.3,24.2,4.7,0.2,32.0,14.4,0.4
glrR,2686825,2685491,ECK2551,b2554,36.1,20.9,0.6,50.4,24.5,0.5,40.8,19.2,0.5
gltA,753691,752408,ECK0709,b0720,195.5,376.4,1.9,194.5,287.5,1.5,145.6,288.1,2.0
gltB,3352654,3357207,ECK3202,b3212,409.1,432.4,1.1,359.8,281.4,0.8,298.1,207.8,0.7
gltD,3357220,3358638,ECK3203,b3213,461.0,482.6,1.0,345.4,276.6,0.8,381.7,241.9,0.6
gltF,3359198,3359962,ECK3204,b3214,44.1,141.0,3.2,35.5,106.1,3.0,39.0,61.8,1.6
gltI,686970,686062,ECK0648,b0655,91.1,270.7,3.0,72.0,137.2,1.9,67.4,121.0,1.8
gltJ,685892,685152,ECK0647,b0654,29.7,22.1,0.7,35.3,18.1,0.5,26.3,25.0,0.9
gltK,685152,684478,ECK0646,b0653,36.7,21.6,0.6,40.2,16.1,0.4,30.6,10.7,0.3
gltL,684478,683753,ECK0645,b0652,53.3,82.9,1.6,61.8,53.0,0.9,71.2,41.0,0.6
gltP,4292504,4293817,ECK4070,b4077,183.5,167.4,0.9,173.0,167.5,1.0,190.1,214.3,1.1
gltS,3826688,3825483,ECK3643,b3653,24.6,18.1,0.7,29.5,15.3,0.5,40.6,34.1,0.8
gltX,2518694,2517279,ECK2394,b2400,562.6,1477.1,2.6,641.4,1278.6,2.0,565.0,1034.1,1.8
gluQ,160112,159186,ECK0143,b0144,14.6,6.9,0.5,30.3,11.7,0.4,41.6,14.4,0.3
glvB,3860495,3860010,ECK3674,b3682,1.9,0.0,0.0,1.9,0.0,0.0,0.8,2.1,2.6
glvC,3861626,3860520,ECK3675,b3683,0.8,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
glvG,3860010,3859372,ECK3673,b3681,5.6,2.4,0.4,1.5,3.9,2.7,8.7,4.8,0.6
glxK,541112,542257,ECK0507,b0514,4.3,5.8,1.3,4.9,5.1,1.0,4.2,6.3,1.5
glxR,535810,536688,ECK0502,b0509,2.0,3.8,1.8,1.1,6.7,6.3,2.3,0.0,0.0
glyA,2683529,2682276,ECK2548,b2551,575.8,1887.2,3.3,612.3,1585.2,2.6,483.3,1085.7,2.2
glyQ,3723341,3722430,ECK3548,b3560,832.6,979.9,1.2,865.6,764.5,0.9,692.0,804.4,1.2
glyS,3722420,3720351,ECK3547,b3559,954.0,1189.7,1.2,841.3,921.5,1.1,866.4,625.0,0.7
gmd,2126338,2125217,ECK2047,b2053,2.0,5.9,2.9,2.5,3.7,1.5,1.1,1.8,1.7
gmhB,222833,223408,ECK0200,b0200,153.1,357.6,2.3,139.6,249.9,1.8,117.4,337.2,2.9
gmk,3819451,3820074,ECK3638,b3648,442.6,407.5,0.9,527.6,516.4,1.0,551.2,428.1,0.8
gmm,2124246,2123767,ECK2045,b2051,1.9,1.2,0.6,1.9,1.7,0.9,4.1,0.0,0.0
gmr,1344766,1342781,ECK1280,b1285,9.3,6.3,0.7,10.8,10.1,0.9,8.6,4.1,0.5
gnd,2099292,2097886,ECK2024,b2029,1768.1,3927.4,2.2,1561.5,2779.3,1.8,1590.4,2254.4,1.4
gnsA,1051290,1051463,ECK0982,b4517,144.8,419.6,2.9,64.5,298.2,4.6,70.8,377.9,5.3
gnsB,1635806,1635633,ECK1544,b1550,253.4,726.2,2.9,69.9,336.7,4.8,219.4,608.2,2.8
gntK,3575615,3575088,ECK3422,b3437,12.8,30.6,2.4,8.9,4.8,0.5,7.5,0.0,0.0
gntP,4549319,4547976,ECK4312,b4321,2.0,1.3,0.6,2.1,1.2,0.6,2.7,4.6,1.7
gntR,3576749,3575754,ECK3423,b3438,92.6,80.5,0.9,87.3,61.3,0.7,76.3,83.6,1.1
gntT,3544581,3545897,ECK3402,b3415,12.0,6.7,0.6,14.9,4.4,0.3,13.3,6.2,0.5
gntU,3575084,3573744,ECK3421,b4476,11.1,3.0,0.3,7.7,3.1,0.4,6.8,2.3,0.3
gntX,3542904,3543587,ECK3400,b3413,92.1,5.7,0.1,76.6,8.6,0.1,81.4,10.5,0.1
gor,3644322,3645674,ECK3485,b3500,213.1,376.7,1.8,194.9,243.1,1.2,179.9,177.7,1.0
gph,3512411,3511653,ECK3372,b3385,224.6,144.7,0.6,225.5,130.1,0.6,227.4,128.6,0.6
gpmA,786818,786066,ECK0744,b0755,1245.6,3762.1,3.0,991.2,2728.9,2.8,1151.3,2428.9,2.1
gpmM,3783283,3784827,ECK3602,b3612,441.1,1104.0,2.5,285.1,511.4,1.8,254.0,385.1,1.5
gpp,3962252,3960768,ECK3771,b3779,216.9,69.2,0.3,210.4,59.2,0.3,141.4,70.6,0.5
gpsA,3781684,3780665,ECK3598,b3608,415.0,162.6,0.4,418.1,187.9,0.4,379.7,208.5,0.5
gpt,255977,256435,ECK0239,b0238,228.4,976.5,4.3,472.7,1498.9,3.2,404.6,1148.4,2.8
grcA,2714471,2714088,ECK2577,b2579,2668.7,12558.5,4.7,258.2,980.9,3.8,326.2,1418.2,4.3
greA,3326737,3326261,ECK3170,b3181,256.5,737.6,2.9,298.0,852.8,2.9,473.5,1053.4,2.2
greB,3534834,3535310,ECK3393,b3406,55.6,63.7,1.1,31.4,24.6,0.8,35.0,17.2,0.5
groL,4369048,4370694,ECK4137,b4143,2510.9,5260.0,2.1,1841.1,3251.5,1.8,1825.8,2271.5,1.2
groS,4368711,4369004,ECK4136,b4142,1996.8,4444.3,2.2,1367.9,3797.8,2.8,1436.5,2121.5,1.5
grpE,2748730,2748137,ECK2610,b2614,864.9,2181.7,2.5,708.6,2058.7,2.9,741.1,1402.9,1.9
grxA,889976,889719,ECK0840,b0849,29.6,64.1,2.2,36.3,55.2,1.5,37.0,67.7,1.8
grxB,1123277,1122630,ECK1049,b1064,39.6,140.0,3.5,31.8,54.3,1.7,25.2,57.1,2.3
grxC,3782465,3782214,ECK3600,b3610,683.7,867.6,1.3,642.1,528.1,0.8,759.0,526.0,0.7
grxD,1732125,1731778,ECK1650,b1654,608.9,1771.9,2.9,776.7,2398.0,3.1,802.2,1889.7,2.4
gshA,2814461,2812905,ECK2683,b2688,223.3,176.1,0.8,209.6,131.2,0.6,216.6,140.6,0.6
gshB,3089900,3090850,ECK2942,b2947,172.2,392.7,2.3,132.8,243.8,1.8,151.8,177.2,1.2
gsiA,866776,868614,ECK0819,b0829,37.9,16.4,0.4,32.0,8.2,0.3,25.1,10.1,0.4
gsiB,868634,870172,ECK0820,b0830,29.5,27.2,0.9,23.1,23.4,1.0,21.2,18.0,0.9
gsiC,870190,871110,ECK0821,b0831,23.0,7.0,0.3,14.2,3.6,0.3,13.8,6.7,0.5
gsiD,871113,872024,ECK0822,b0832,13.3,6.2,0.5,10.3,11.9,1.2,14.0,10.1,0.7
gsk,499349,500653,ECK0471,b0477,66.5,92.2,1.4,101.8,200.8,2.0,117.3,155.1,1.3
gspA,3453420,3451951,ECK3310,b3323,1.8,0.1,0.1,3.2,0.0,0.0,2.2,0.0,0.0
gspB,3451949,3451530,ECK3309,b3322,11.8,0.9,0.1,6.7,4.0,0.6,7.6,0.0,0.0
gspC,3453600,3454415,ECK3311,b3324,2.2,1.0,0.4,2.3,0.0,0.0,1.9,0.0,0.0
gspD,3454399,3456351,ECK3312,b3325,1.8,0.8,0.4,4.3,0.4,0.1,2.9,0.0,0.0
gspE,3456361,3457842,ECK3313,b3326,0.9,0.1,0.1,2.5,0.6,0.2,1.9,1.4,0.7
gspF,3457839,3459035,ECK3314,b3327,0.8,0.0,0.0,0.8,0.7,0.9,2.0,0.0,0.0
gspG,3459045,3459482,ECK3315,b3328,3.1,0.4,0.1,0.0,0.0,#DIV/0!,0.9,0.0,0.0
gspH,3459490,3459999,ECK3316,b3329,0.9,0.0,0.0,1.8,0.0,0.0,1.6,0.0,0.0
gspI,3459996,3460373,ECK3317,b3330,0.0,0.0,#DIV/0!,2.5,0.0,0.0,0.0,0.0,#DIV/0!
gspJ,3460366,3460953,ECK3318,b3331,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
gspK,3460946,3461929,ECK3319,b3332,0.5,0.2,0.4,1.9,0.9,0.4,0.8,0.0,0.0
gspL,3461944,3463107,ECK3320,b3333,4.3,0.3,0.1,2.4,0.0,0.0,1.0,2.6,2.6
gspM,3463104,3463565,ECK3321,b3334,5.8,0.8,0.1,0.0,1.8,#DIV/0!,0.0,2.2,#DIV/0!
gspO,3463565,3464242,ECK3322,b3335,3.3,0.9,0.3,2.8,3.7,1.3,4.7,4.5,1.0
gss,3136544,3134685,ECK2982,b2988,91.7,151.8,1.7,70.9,86.4,1.2,72.0,85.6,1.2
gstA,1712401,1713006,ECK1631,b1635,48.3,162.6,3.4,34.0,103.6,3.1,47.9,79.7,1.7
gstB,879703,879077,ECK0828,b0838,125.6,322.9,2.6,110.4,196.2,1.8,92.0,175.4,1.9
guaA,2630557,2628980,ECK2503,b2507,862.6,1654.9,1.9,909.8,1395.0,1.5,850.5,1066.6,1.3
guaB,2632092,2630626,ECK2504,b2508,598.0,1978.2,3.3,649.0,1562.7,2.4,640.8,933.7,1.5
guaC,113444,114487,ECK0104,b0104,119.8,249.0,2.1,152.3,264.6,1.7,141.7,218.5,1.5
guaD,3023788,3025107,ECK2879,b2883,5.8,8.7,1.5,7.8,4.4,0.6,3.6,1.6,0.4
gudD,2917407,2916067,ECK2781,b2787,6.0,15.2,2.5,13.3,7.5,0.6,5.3,7.7,1.4
gudP,2920122,2918770,ECK2783,b2789,0.3,0.1,0.4,1.4,0.6,0.4,0.6,0.0,0.0
gudX,2918768,2917428,ECK2782,b2788,4.4,0.4,0.1,2.1,0.0,0.0,4.2,1.5,0.4
gutM,2826643,2827002,ECK2701,b2706,8.7,3.2,0.4,2.6,0.0,0.0,4.4,2.9,0.6
gutQ,2827835,2828800,ECK2703,b2708,35.4,58.0,1.6,50.3,51.1,1.0,43.6,68.1,1.6
gyrA,2337442,2334815,ECK2223,b2231,685.4,607.4,0.9,728.5,505.8,0.7,709.8,540.7,0.8
gyrB,3878142,3875728,ECK3691,b3699,379.4,767.1,2.0,371.4,589.9,1.6,417.8,483.8,1.2
hcaB,2669247,2670059,ECK2538,b2541,4.4,1.4,0.3,2.3,2.1,0.9,5.4,5.1,0.9
hcaC,2668930,2669250,ECK2537,b2540,5.6,3.0,0.5,17.5,0.0,0.0,2.5,6.4,2.6
hcaD,2670069,2671271,ECK2539,b2542,4.1,2.4,0.6,4.7,2.8,0.6,6.0,5.1,0.9
hcaE,2667054,2668415,ECK2535,b2538,12.2,0.1,0.0,12.4,1.2,0.1,13.1,3.8,0.3
hcaF,2668412,2668930,ECK2536,b2539,2.6,0.4,0.1,9.0,3.2,0.4,6.1,4.0,0.6
hcaR,2666918,2666028,ECK2534,b2537,3.0,1.1,0.4,7.3,1.9,0.3,6.2,1.2,0.2
hcaT,2665868,2664729,ECK2533,b2536,20.1,7.2,0.4,41.0,25.0,0.6,37.3,20.7,0.6
hchA,2033859,2034710,ECK1963,b1967,4.8,10.1,2.1,3.3,5.9,1.8,5.1,26.5,5.2
hcp,913037,911385,ECK0864,b0873,7.9,6.4,0.8,2.8,2.5,0.9,3.4,4.4,1.3
hcr,911373,910405,ECK0863,b0872,12.5,12.3,1.0,1.9,0.9,0.4,1.6,2.1,1.3
hda,2616798,2616097,ECK2492,b2496,98.7,68.8,0.7,114.6,57.2,0.5,136.0,49.8,0.4
hdeA,3654763,3654431,ECK3494,b3510,68.9,114.0,1.7,19.7,47.8,2.4,32.2,49.4,1.5
hdeB,3654315,3653989,ECK3493,b3509,24.8,51.2,2.1,2.9,35.8,12.5,18.2,37.7,2.1
hdeD,3655018,3655590,ECK3495,b3511,14.1,12.9,0.9,8.2,14.6,1.8,4.2,7.2,1.7
hdfR,3945990,3945151,ECK3756,b4480,48.2,71.9,1.5,33.4,54.8,1.6,43.1,55.0,1.3
hdhA,1696064,1695297,ECK1614,b1619,42.8,51.2,1.2,14.6,36.0,2.5,24.3,78.9,3.2
helD,1023694,1025748,ECK0953,b0962,57.4,33.2,0.6,43.7,22.0,0.5,38.5,30.5,0.8
hemA,1262937,1264193,ECK1198,b1210,92.0,38.1,0.4,104.9,47.9,0.5,99.7,52.3,0.5
hemB,388951,387977,ECK0366,b0369,158.3,284.0,1.8,142.0,215.5,1.5,136.6,229.7,1.7
hemC,3988789,3987848,ECK3799,b3805,241.2,309.2,1.3,173.8,160.8,0.9,186.6,197.4,1.1
hemD,3987851,3987111,ECK3798,b3804,154.2,40.7,0.3,109.8,22.6,0.2,126.1,25.0,0.2
hemE,4195739,4196803,ECK3989,b3997,195.1,275.7,1.4,170.4,172.9,1.0,149.7,181.4,1.2
hemF,2551247,2552146,ECK2431,b2436,49.0,29.6,0.6,59.2,35.3,0.6,55.7,36.5,0.7
hemG,4032631,4033176,ECK3842,b3850,98.9,91.6,0.9,77.1,90.4,1.2,107.1,88.5,0.8
hemH,497279,498241,ECK0469,b0475,44.4,73.2,1.6,52.4,73.9,1.4,38.0,48.0,1.3
hemL,174882,173602,ECK0153,b0154,312.9,570.3,1.8,300.8,489.4,1.6,277.5,333.7,1.2
hemN,4050068,4051441,ECK3860,b3867,94.6,103.4,1.1,80.3,73.7,0.9,84.5,81.5,1.0
hemX,3987089,3985908,ECK3797,b3803,130.2,133.9,1.0,141.6,118.3,0.8,152.4,133.9,0.9
hemY,3985905,3984709,ECK3796,b3802,122.9,82.1,0.7,125.0,72.0,0.6,172.8,92.7,0.5
hepA,63264,60358,ECK0060,b0059,134.6,189.9,1.4,176.0,246.8,1.4,190.1,194.1,1.0
hflC,4401323,4402327,ECK4171,b4175,373.8,296.4,0.8,389.0,280.7,0.7,407.2,332.3,0.8
