gene,Start,End,EcoCyc accession,locus_tag,30C_1_m,30C_1_f,te_1,30C_2_m,30C_2_f,te_2,30C_3_m,30C_3_f,te_3,TE_n_nonmissing,TE_mean,TE_all_missing
garP,3272929.0,3271595.0,ECK3115,b3127,1.7,1.3,0.8,0.7,0.6,0.9,0.6,0.0,0.0,3,0.5666666666666668,False
garR,3270779.0,3269889.0,ECK3113,b3125,12.6,28.8,2.3,10.5,11.3,1.1,6.7,9.2,1.4,3,1.5999999999999999,False
gatA,2173071.0,2172619.0,ECK2087,b2094,138.0,152.1,1.1,103.2,88.7,0.9,141.3,74.9,0.5,3,0.8333333333333334,False
gatB,2172588.0,2172304.0,ECK2086,b2093,94.7,66.9,0.7,59.1,35.2,0.6,69.8,36.1,0.5,3,0.6,False
gatC,2172300.0,2170945.0,ECK2085,b2092,64.0,43.1,0.7,56.6,29.6,0.5,51.6,33.3,0.6,3,0.6,False
gatD,2170897.0,2169857.0,ECK2084,b2091,13.4,24.7,1.8,11.7,28.1,2.4,11.5,13.8,1.2,3,1.8,False
gatY,2175226.0,2174372.0,ECK2089,b2096,955.0,1752.3,1.8,369.7,488.5,1.3,377.7,506.0,1.3,3,1.4666666666666668,False
gatZ,2174343.0,2173081.0,ECK2088,b2095,367.6,604.3,1.6,221.4,240.6,1.1,214.1,189.6,0.9,3,1.2,False
gcd,141225.0,138835.0,ECK0123,b0124,66.6,68.2,1.0,109.9,80.2,0.7,104.9,101.9,1.0,3,0.9,False
gcl,533140.0,534921.0,ECK0500,b0507,3.8,3.6,1.0,3.1,1.9,0.6,2.0,5.2,2.6,3,1.4000000000000001,False
gcvA,2940589.0,2939672.0,ECK2803,b2808,56.8,43.9,0.8,42.8,35.6,0.8,54.1,44.8,0.8,3,0.8000000000000002,False
gcvH,3047571.0,3047182.0,ECK2899,b2904,153.4,391.9,2.6,151.1,336.9,2.2,170.3,239.8,1.4,3,2.066666666666667,False
gcvP,3047063.0,3044190.0,ECK2898,b2903,62.5,102.0,1.6,59.6,74.0,1.2,62.1,53.6,0.9,3,1.2333333333333332,False
gcvR,2597928.0,2598500.0,ECK2475,b2479,204.1,197.8,1.0,146.9,124.2,0.8,137.4,152.4,1.1,3,0.9666666666666668,False
gcvT,3048689.0,3047595.0,ECK2900,b2905,105.2,130.2,1.2,88.8,115.4,1.3,94.8,104.2,1.1,3,1.2,False
gdhA,1840395.0,1841738.0,ECK1759,b1761,368.9,763.6,2.1,272.1,429.7,1.6,229.0,311.9,1.4,3,1.7,False
gfcA,1048967.0,1048662.0,ECK0978,b0987,7.4,4.5,0.6,21.4,5.5,0.3,5.2,6.7,1.3,3,0.7333333333333334,False
gfcB,1048555.0,1047911.0,ECK0977,b0986,2.1,0.0,0.0,1.5,0.0,0.0,0.6,0.0,0.0,3,0.0,False
gfcC,1047914.0,1047168.0,ECK0976,b0985,0.0,0.5,,0.0,1.1,,2.1,2.8,1.3,1,1.3,False
gfcD,1047168.0,1045072.0,ECK0975,b0984,0.9,0.5,0.5,1.8,0.4,0.2,2.3,2.0,0.9,3,0.5333333333333333,False
gfcE,1045026.0,1043887.0,ECK0974,b0983,5.5,2.9,0.5,1.6,5.1,3.1,3.8,2.7,0.7,3,1.4333333333333333,False
ggt,3584846.0,3583104.0,ECK3431,b3447,4.9,5.0,1.0,7.0,7.2,1.0,7.5,8.8,1.2,3,1.0666666666666667,False
ghoS,4350607.0,4350903.0,ECK4121,b4128,34.8,91.8,2.6,3.1,5.6,1.8,0.0,3.5,,2,2.2,False
ghoT,4350931.0,4351104.0,ECK4122,b4559,23.3,10.1,0.4,0.0,0.0,,2.3,0.0,0.0,2,0.2,False
ghrA,1097109.0,1098047.0,ECK1019,b1033,59.9,158.0,2.6,50.8,82.0,1.6,41.9,82.1,2.0,3,2.066666666666667,False
ghrB,3715333.0,3716307.0,ECK3540,b3553,128.3,388.8,3.0,104.6,237.8,2.3,74.6,190.8,2.6,3,2.6333333333333333,False
ghxP,4276502.0,4277851.0,ECK4057,b4064,61.0,52.4,0.9,109.5,117.2,1.1,102.2,128.6,1.3,3,1.0999999999999999,False
ghxQ,3025143.0,3026510.0,ECK2880,b4464,5.6,1.7,0.3,9.6,4.3,0.4,4.9,0.0,0.0,3,0.2333333333333333,False
glcA,3119301.0,3117619.0,ECK2969,b2975,2.1,0.7,0.3,1.1,1.0,0.9,2.6,3.7,1.4,3,0.8666666666666666,False
glcB,3121827.0,3119656.0,ECK2970,b2976,22.2,52.6,2.4,17.2,33.5,1.9,15.2,21.3,1.4,3,1.8999999999999997,False
glcC,3126294.0,3127058.0,ECK2975,b2980,9.4,2.0,0.2,9.8,5.5,0.6,11.4,5.4,0.5,3,0.43333333333333335,False
glcD,3126043.0,3124544.0,ECK2974,b2979,1.5,0.1,0.1,1.9,0.6,0.3,1.9,2.1,1.1,3,0.5,False
glcE,3124544.0,3123492.0,ECK2973,b4468,2.1,0.2,0.1,3.6,0.8,0.2,1.9,1.0,0.5,3,0.26666666666666666,False
glcF,3123481.0,3122258.0,ECK2972,b4467,6.2,1.0,0.2,7.6,0.0,0.0,8.4,0.0,0.0,3,0.06666666666666667,False
glcG,3122253.0,3121849.0,ECK2971,b2977,24.4,39.4,1.6,23.1,41.3,1.8,19.6,25.4,1.3,3,1.5666666666666667,False
gldA,4137058.0,4135955.0,ECK3937,b3945,35.0,102.8,2.9,9.3,3.8,0.4,7.2,8.4,1.2,3,1.5,False
glf,2106353.0,2105250.0,ECK2030,b2036,262.0,661.2,2.5,135.5,406.4,3.0,315.2,321.1,1.0,3,2.1666666666666665,False
glgA,3566056.0,3564623.0,ECK3415,b3429,83.8,43.7,0.5,64.6,28.6,0.4,51.0,43.7,0.9,3,0.6,False
glgB,3571525.0,3569339.0,ECK3418,b3432,100.2,31.5,0.3,81.3,13.8,0.2,68.7,23.5,0.3,3,0.26666666666666666,False
glgC,3567351.0,3566056.0,ECK3416,b3430,83.0,82.9,1.0,58.5,49.1,0.8,50.6,37.3,0.7,3,0.8333333333333334,False
glgP,3564604.0,3562157.0,ECK3414,b3428,67.6,31.7,0.5,54.6,21.9,0.4,51.5,31.1,0.6,3,0.5,False
glgS,3189961.0,3189761.0,ECK3038,b3049,40.3,74.6,1.9,9.3,25.0,2.7,15.8,30.7,1.9,3,2.1666666666666665,False
glgX,3569342.0,3567369.0,ECK3417,b3431,70.0,16.6,0.2,47.4,12.7,0.3,42.9,17.7,0.4,3,0.3,False
glk,2507448.0,2506483.0,ECK2384,b2388,104.3,248.5,2.4,48.4,104.8,2.2,63.4,133.0,2.1,3,2.233333333333333,False
glmM,3322092.0,3320755.0,ECK3165,b3176,361.1,533.6,1.5,343.2,451.0,1.3,309.4,416.2,1.3,3,1.3666666666666665,False
glmS,3911691.0,3909862.0,ECK3722,b3729,696.7,953.6,1.4,654.7,654.1,1.0,533.3,561.5,1.1,3,1.1666666666666667,False
glmU,3913223.0,3911853.0,ECK3723,b3730,593.2,562.9,0.9,670.6,553.1,0.8,699.3,522.4,0.7,3,0.8000000000000002,False
glnA,4056057.0,4054648.0,ECK3863,b3870,129.2,397.5,3.1,161.2,379.9,2.4,101.8,269.6,2.6,3,2.6999999999999997,False
glnB,2685430.0,2685092.0,ECK2550,b2553,256.1,644.4,2.5,245.5,530.8,2.2,321.4,539.5,1.7,3,2.1333333333333333,False
glnD,188650.0,185978.0,ECK0165,b0167,32.5,22.9,0.7,31.5,15.3,0.5,26.9,17.7,0.7,3,0.6333333333333333,False
glnE,3197663.0,3194823.0,ECK3043,b3053,62.7,36.0,0.6,60.2,24.5,0.4,59.8,29.3,0.5,3,0.5,False
glnG,4053301.0,4051892.0,ECK3861,b3868,39.6,20.3,0.5,50.4,20.8,0.4,36.1,17.5,0.5,3,0.4666666666666666,False
glnH,847227.0,846481.0,ECK0800,b0811,41.6,149.6,3.6,63.9,162.5,2.5,54.3,107.3,2.0,3,2.6999999999999997,False
glnK,471822.0,472160.0,ECK0444,b0450,0.0,0.6,,0.0,0.0,,1.2,0.0,0.0,1,0.0,False
glnL,4054362.0,4053313.0,ECK3862,b3869,45.4,11.9,0.3,33.0,9.6,0.3,32.2,17.6,0.5,3,0.3666666666666667,False
glnP,846342.0,845683.0,ECK0799,b0810,31.4,15.6,0.5,35.4,26.6,0.8,48.2,21.8,0.5,3,0.6,False
glnQ,845686.0,844964.0,ECK0798,b0809,42.9,35.8,0.8,40.1,39.4,1.0,50.1,29.8,0.6,3,0.7999999999999999,False
glnS,705316.0,706980.0,ECK0668,b0680,487.4,1060.4,2.2,446.6,772.2,1.7,406.0,612.8,1.5,3,1.8,False
gloA,1725861.0,1726268.0,ECK1647,b1651,180.8,576.5,3.2,139.8,416.4,3.0,160.8,400.4,2.5,3,2.9,False
gloB,234782.0,234027.0,ECK0212,b0212,39.3,67.0,1.7,19.8,38.8,2.0,20.5,44.9,2.2,3,1.9666666666666668,False
glpA,2350669.0,2352297.0,ECK2233,b2241,362.9,613.4,1.7,27.6,24.1,0.9,25.9,74.4,2.9,3,1.8333333333333333,False
glpB,2352287.0,2353546.0,ECK2234,b2242,48.2,55.8,1.2,20.0,21.9,1.1,19.9,26.9,1.4,3,1.2333333333333332,False
glpC,2353543.0,2354733.0,ECK2235,b2243,18.9,29.1,1.5,13.4,11.9,0.9,11.0,16.4,1.5,3,1.3,False
glpD,3560036.0,3561541.0,ECK3412,b3426,2196.7,3516.6,1.6,2206.6,2980.6,1.4,2034.3,2618.6,1.3,3,1.4333333333333333,False
glpE,3559846.0,3559520.0,ECK3411,b3425,141.7,210.8,1.5,191.6,399.3,2.1,229.8,317.4,1.4,3,1.6666666666666667,False
glpF,4116113.0,4115268.0,ECK3919,b3927,147.8,148.0,1.0,117.2,86.1,0.7,88.4,102.0,1.2,3,0.9666666666666667,False
glpG,3559475.0,3558645.0,ECK3410,b3424,102.3,60.2,0.6,198.1,94.7,0.5,179.5,119.9,0.7,3,0.6,False
glpK,4115245.0,4113737.0,ECK3918,b3926,335.4,922.9,2.8,346.5,641.2,1.9,267.5,473.2,1.8,3,2.1666666666666665,False
glpQ,2349033.0,2347957.0,ECK2231,b2239,113.2,75.7,0.7,81.6,67.6,0.8,152.9,67.7,0.4,3,0.6333333333333333,False
glpR,3558628.0,3557870.0,ECK3409,b3423,68.2,53.1,0.8,98.6,51.8,0.5,92.7,66.3,0.7,3,0.6666666666666666,False
glpT,2350396.0,2349038.0,ECK2232,b2240,67.2,85.7,1.3,81.9,77.6,0.9,90.4,99.0,1.1,3,1.1,False
glpX,4113602.0,4112592.0,ECK3917,b3925,90.3,140.6,1.6,87.0,120.9,1.4,96.4,91.5,0.9,3,1.3,False
glrK,2689120.0,2687693.0,ECK2553,b2556,27.7,8.9,0.3,24.2,4.7,0.2,32.0,14.4,0.4,3,0.3,False
glrR,2686825.0,2685491.0,ECK2551,b2554,36.1,20.9,0.6,50.4,24.5,0.5,40.8,19.2,0.5,3,0.5333333333333333,False
gltA,753691.0,752408.0,ECK0709,b0720,195.5,376.4,1.9,194.5,287.5,1.5,145.6,288.1,2.0,3,1.8,False
gltB,3352654.0,3357207.0,ECK3202,b3212,409.1,432.4,1.1,359.8,281.4,0.8,298.1,207.8,0.7,3,0.8666666666666667,False
gltD,3357220.0,3358638.0,ECK3203,b3213,461.0,482.6,1.0,345.4,276.6,0.8,381.7,241.9,0.6,3,0.7999999999999999,False
gltF,3359198.0,3359962.0,ECK3204,b3214,44.1,141.0,3.2,35.5,106.1,3.0,39.0,61.8,1.6,3,2.6,False
gltI,686970.0,686062.0,ECK0648,b0655,91.1,270.7,3.0,72.0,137.2,1.9,67.4,121.0,1.8,3,2.2333333333333334,False
gltJ,685892.0,685152.0,ECK0647,b0654,29.7,22.1,0.7,35.3,18.1,0.5,26.3,25.0,0.9,3,0.7000000000000001,False
gltK,685152.0,684478.0,ECK0646,b0653,36.7,21.6,0.6,40.2,16.1,0.4,30.6,10.7,0.3,3,0.43333333333333335,False
gltL,684478.0,683753.0,ECK0645,b0652,53.3,82.9,1.6,61.8,53.0,0.9,71.2,41.0,0.6,3,1.0333333333333334,False
gltP,4292504.0,4293817.0,ECK4070,b4077,183.5,167.4,0.9,173.0,167.5,1.0,190.1,214.3,1.1,3,1.0,False
gltS,3826688.0,3825483.0,ECK3643,b3653,24.6,18.1,0.7,29.5,15.3,0.5,40.6,34.1,0.8,3,0.6666666666666666,False
gltX,2518694.0,2517279.0,ECK2394,b2400,562.6,1477.1,2.6,641.4,1278.6,2.0,565.0,1034.1,1.8,3,2.1333333333333333,False
gluQ,160112.0,159186.0,ECK0143,b0144,14.6,6.9,0.5,30.3,11.7,0.4,41.6,14.4,0.3,3,0.39999999999999997,False
glvB,3860495.0,3860010.0,ECK3674,b3682,1.9,0.0,0.0,1.9,0.0,0.0,0.8,2.1,2.6,3,0.8666666666666667,False
glvC,3861626.0,3860520.0,ECK3675,b3683,0.8,0.0,0.0,0.0,0.0,,0.0,0.0,,1,0.0,False
glvG,3860010.0,3859372.0,ECK3673,b3681,5.6,2.4,0.4,1.5,3.9,2.7,8.7,4.8,0.6,3,1.2333333333333334,False
glxK,541112.0,542257.0,ECK0507,b0514,4.3,5.8,1.3,4.9,5.1,1.0,4.2,6.3,1.5,3,1.2666666666666666,False
glxR,535810.0,536688.0,ECK0502,b0509,2.0,3.8,1.8,1.1,6.7,6.3,2.3,0.0,0.0,3,2.6999999999999997,False
glyA,2683529.0,2682276.0,ECK2548,b2551,575.8,1887.2,3.3,612.3,1585.2,2.6,483.3,1085.7,2.2,3,2.7000000000000006,False
glyQ,3723341.0,3722430.0,ECK3548,b3560,832.6,979.9,1.2,865.6,764.5,0.9,692.0,804.4,1.2,3,1.0999999999999999,False
glyS,3722420.0,3720351.0,ECK3547,b3559,954.0,1189.7,1.2,841.3,921.5,1.1,866.4,625.0,0.7,3,1.0,False
gmd,2126338.0,2125217.0,ECK2047,b2053,2.0,5.9,2.9,2.5,3.7,1.5,1.1,1.8,1.7,3,2.0333333333333337,False
gmhB,222833.0,223408.0,ECK0200,b0200,153.1,357.6,2.3,139.6,249.9,1.8,117.4,337.2,2.9,3,2.3333333333333335,False
gmk,3819451.0,3820074.0,ECK3638,b3648,442.6,407.5,0.9,527.6,516.4,1.0,551.2,428.1,0.8,3,0.9,False
gmm,2124246.0,2123767.0,ECK2045,b2051,1.9,1.2,0.6,1.9,1.7,0.9,4.1,0.0,0.0,3,0.5,False
gmr,1344766.0,1342781.0,ECK1280,b1285,9.3,6.3,0.7,10.8,10.1,0.9,8.6,4.1,0.5,3,0.7000000000000001,False
gnd,2099292.0,2097886.0,ECK2024,b2029,1768.1,3927.4,2.2,1561.5,2779.3,1.8,1590.4,2254.4,1.4,3,1.8,False
gnsA,1051290.0,1051463.0,ECK0982,b4517,144.8,419.6,2.9,64.5,298.2,4.6,70.8,377.9,5.3,3,4.266666666666667,False
gnsB,1635806.0,1635633.0,ECK1544,b1550,253.4,726.2,2.9,69.9,336.7,4.8,219.4,608.2,2.8,3,3.5,False
gntK,3575615.0,3575088.0,ECK3422,b3437,12.8,30.6,2.4,8.9,4.8,0.5,7.5,0.0,0.0,3,0.9666666666666667,False
gntP,4549319.0,4547976.0,ECK4312,b4321,2.0,1.3,0.6,2.1,1.2,0.6,2.7,4.6,1.7,3,0.9666666666666667,False
gntR,3576749.0,3575754.0,ECK3423,b3438,92.6,80.5,0.9,87.3,61.3,0.7,76.3,83.6,1.1,3,0.9,False
gntT,3544581.0,3545897.0,ECK3402,b3415,12.0,6.7,0.6,14.9,4.4,0.3,13.3,6.2,0.5,3,0.4666666666666666,False
gntU,3575084.0,3573744.0,ECK3421,b4476,11.1,3.0,0.3,7.7,3.1,0.4,6.8,2.3,0.3,3,0.3333333333333333,False
gntX,3542904.0,3543587.0,ECK3400,b3413,92.1,5.7,0.1,76.6,8.6,0.1,81.4,10.5,0.1,3,0.10000000000000002,False
gor,3644322.0,3645674.0,ECK3485,b3500,213.1,376.7,1.8,194.9,243.1,1.2,179.9,177.7,1.0,3,1.3333333333333333,False
gph,3512411.0,3511653.0,ECK3372,b3385,224.6,144.7,0.6,225.5,130.1,0.6,227.4,128.6,0.6,3,0.6,False
gpmA,786818.0,786066.0,ECK0744,b0755,1245.6,3762.1,3.0,991.2,2728.9,2.8,1151.3,2428.9,2.1,3,2.6333333333333333,False
gpmM,3783283.0,3784827.0,ECK3602,b3612,441.1,1104.0,2.5,285.1,511.4,1.8,254.0,385.1,1.5,3,1.9333333333333333,False
gpp,3962252.0,3960768.0,ECK3771,b3779,216.9,69.2,0.3,210.4,59.2,0.3,141.4,70.6,0.5,3,0.3666666666666667,False
gpsA,3781684.0,3780665.0,ECK3598,b3608,415.0,162.6,0.4,418.1,187.9,0.4,379.7,208.5,0.5,3,0.43333333333333335,False
gpt,255977.0,256435.0,ECK0239,b0238,228.4,976.5,4.3,472.7,1498.9,3.2,404.6,1148.4,2.8,3,3.4333333333333336,False
grcA,2714471.0,2714088.0,ECK2577,b2579,2668.7,12558.5,4.7,258.2,980.9,3.8,326.2,1418.2,4.3,3,4.266666666666667,False
greA,3326737.0,3326261.0,ECK3170,b3181,256.5,737.6,2.9,298.0,852.8,2.9,473.5,1053.4,2.2,3,2.6666666666666665,False
greB,3534834.0,3535310.0,ECK3393,b3406,55.6,63.7,1.1,31.4,24.6,0.8,35.0,17.2,0.5,3,0.8000000000000002,False
groL,4369048.0,4370694.0,ECK4137,b4143,2510.9,5260.0,2.1,1841.1,3251.5,1.8,1825.8,2271.5,1.2,3,1.7000000000000002,False
groS,4368711.0,4369004.0,ECK4136,b4142,1996.8,4444.3,2.2,1367.9,3797.8,2.8,1436.5,2121.5,1.5,3,2.1666666666666665,False
grpE,2748730.0,2748137.0,ECK2610,b2614,864.9,2181.7,2.5,708.6,2058.7,2.9,741.1,1402.9,1.9,3,2.4333333333333336,False
grxA,889976.0,889719.0,ECK0840,b0849,29.6,64.1,2.2,36.3,55.2,1.5,37.0,67.7,1.8,3,1.8333333333333333,False
grxB,1123277.0,1122630.0,ECK1049,b1064,39.6,140.0,3.5,31.8,54.3,1.7,25.2,57.1,2.3,3,2.5,False
grxC,3782465.0,3782214.0,ECK3600,b3610,683.7,867.6,1.3,642.1,528.1,0.8,759.0,526.0,0.7,3,0.9333333333333332,False
grxD,1732125.0,1731778.0,ECK1650,b1654,608.9,1771.9,2.9,776.7,2398.0,3.1,802.2,1889.7,2.4,3,2.8000000000000003,False
gshA,2814461.0,2812905.0,ECK2683,b2688,223.3,176.1,0.8,209.6,131.2,0.6,216.6,140.6,0.6,3,0.6666666666666666,False
gshB,3089900.0,3090850.0,ECK2942,b2947,172.2,392.7,2.3,132.8,243.8,1.8,151.8,177.2,1.2,3,1.7666666666666666,False
gsiA,866776.0,868614.0,ECK0819,b0829,37.9,16.4,0.4,32.0,8.2,0.3,25.1,10.1,0.4,3,0.3666666666666667,False
gsiB,868634.0,870172.0,ECK0820,b0830,29.5,27.2,0.9,23.1,23.4,1.0,21.2,18.0,0.9,3,0.9333333333333332,False
gsiC,870190.0,871110.0,ECK0821,b0831,23.0,7.0,0.3,14.2,3.6,0.3,13.8,6.7,0.5,3,0.3666666666666667,False
gsiD,871113.0,872024.0,ECK0822,b0832,13.3,6.2,0.5,10.3,11.9,1.2,14.0,10.1,0.7,3,0.7999999999999999,False
gsk,499349.0,500653.0,ECK0471,b0477,66.5,92.2,1.4,101.8,200.8,2.0,117.3,155.1,1.3,3,1.5666666666666667,False
gspA,3453420.0,3451951.0,ECK3310,b3323,1.8,0.1,0.1,3.2,0.0,0.0,2.2,0.0,0.0,3,0.03333333333333333,False
gspB,3451949.0,3451530.0,ECK3309,b3322,11.8,0.9,0.1,6.7,4.0,0.6,7.6,0.0,0.0,3,0.2333333333333333,False
gspC,3453600.0,3454415.0,ECK3311,b3324,2.2,1.0,0.4,2.3,0.0,0.0,1.9,0.0,0.0,3,0.13333333333333333,False
gspD,3454399.0,3456351.0,ECK3312,b3325,1.8,0.8,0.4,4.3,0.4,0.1,2.9,0.0,0.0,3,0.16666666666666666,False
gspE,3456361.0,3457842.0,ECK3313,b3326,0.9,0.1,0.1,2.5,0.6,0.2,1.9,1.4,0.7,3,0.3333333333333333,False
gspF,3457839.0,3459035.0,ECK3314,b3327,0.8,0.0,0.0,0.8,0.7,0.9,2.0,0.0,0.0,3,0.3,False
gspG,3459045.0,3459482.0,ECK3315,b3328,3.1,0.4,0.1,0.0,0.0,,0.9,0.0,0.0,2,0.05,False
gspH,3459490.0,3459999.0,ECK3316,b3329,0.9,0.0,0.0,1.8,0.0,0.0,1.6,0.0,0.0,3,0.0,False
gspI,3459996.0,3460373.0,ECK3317,b3330,0.0,0.0,,2.5,0.0,0.0,0.0,0.0,,1,0.0,False
gspJ,3460366.0,3460953.0,ECK3318,b3331,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,,True
gspK,3460946.0,3461929.0,ECK3319,b3332,0.5,0.2,0.4,1.9,0.9,0.4,0.8,0.0,0.0,3,0.26666666666666666,False
gspL,3461944.0,3463107.0,ECK3320,b3333,4.3,0.3,0.1,2.4,0.0,0.0,1.0,2.6,2.6,3,0.9,False
gspM,3463104.0,3463565.0,ECK3321,b3334,5.8,0.8,0.1,0.0,1.8,,0.0,2.2,,1,0.1,False
gspO,3463565.0,3464242.0,ECK3322,b3335,3.3,0.9,0.3,2.8,3.7,1.3,4.7,4.5,1.0,3,0.8666666666666667,False
gss,3136544.0,3134685.0,ECK2982,b2988,91.7,151.8,1.7,70.9,86.4,1.2,72.0,85.6,1.2,3,1.3666666666666665,False
gstA,1712401.0,1713006.0,ECK1631,b1635,48.3,162.6,3.4,34.0,103.6,3.1,47.9,79.7,1.7,3,2.733333333333333,False
gstB,879703.0,879077.0,ECK0828,b0838,125.6,322.9,2.6,110.4,196.2,1.8,92.0,175.4,1.9,3,2.1,False
guaA,2630557.0,2628980.0,ECK2503,b2507,862.6,1654.9,1.9,909.8,1395.0,1.5,850.5,1066.6,1.3,3,1.5666666666666667,False
guaB,2632092.0,2630626.0,ECK2504,b2508,598.0,1978.2,3.3,649.0,1562.7,2.4,640.8,933.7,1.5,3,2.4,False
guaC,113444.0,114487.0,ECK0104,b0104,119.8,249.0,2.1,152.3,264.6,1.7,141.7,218.5,1.5,3,1.7666666666666666,False
guaD,3023788.0,3025107.0,ECK2879,b2883,5.8,8.7,1.5,7.8,4.4,0.6,3.6,1.6,0.4,3,0.8333333333333334,False
gudD,2917407.0,2916067.0,ECK2781,b2787,6.0,15.2,2.5,13.3,7.5,0.6,5.3,7.7,1.4,3,1.5,False
gudP,2920122.0,2918770.0,ECK2783,b2789,0.3,0.1,0.4,1.4,0.6,0.4,0.6,0.0,0.0,3,0.26666666666666666,False
gudX,2918768.0,2917428.0,ECK2782,b2788,4.4,0.4,0.1,2.1,0.0,0.0,4.2,1.5,0.4,3,0.16666666666666666,False
gutM,2826643.0,2827002.0,ECK2701,b2706,8.7,3.2,0.4,2.6,0.0,0.0,4.4,2.9,0.6,3,0.3333333333333333,False
gutQ,2827835.0,2828800.0,ECK2703,b2708,35.4,58.0,1.6,50.3,51.1,1.0,43.6,68.1,1.6,3,1.4000000000000001,False
gyrA,2337442.0,2334815.0,ECK2223,b2231,685.4,607.4,0.9,728.5,505.8,0.7,709.8,540.7,0.8,3,0.8000000000000002,False
gyrB,3878142.0,3875728.0,ECK3691,b3699,379.4,767.1,2.0,371.4,589.9,1.6,417.8,483.8,1.2,3,1.5999999999999999,False
hcaB,2669247.0,2670059.0,ECK2538,b2541,4.4,1.4,0.3,2.3,2.1,0.9,5.4,5.1,0.9,3,0.7000000000000001,False
hcaC,2668930.0,2669250.0,ECK2537,b2540,5.6,3.0,0.5,17.5,0.0,0.0,2.5,6.4,2.6,3,1.0333333333333334,False
hcaD,2670069.0,2671271.0,ECK2539,b2542,4.1,2.4,0.6,4.7,2.8,0.6,6.0,5.1,0.9,3,0.7000000000000001,False
hcaE,2667054.0,2668415.0,ECK2535,b2538,12.2,0.1,0.0,12.4,1.2,0.1,13.1,3.8,0.3,3,0.13333333333333333,False
hcaF,2668412.0,2668930.0,ECK2536,b2539,2.6,0.4,0.1,9.0,3.2,0.4,6.1,4.0,0.6,3,0.3666666666666667,False
hcaR,2666918.0,2666028.0,ECK2534,b2537,3.0,1.1,0.4,7.3,1.9,0.3,6.2,1.2,0.2,3,0.3,False
hcaT,2665868.0,2664729.0,ECK2533,b2536,20.1,7.2,0.4,41.0,25.0,0.6,37.3,20.7,0.6,3,0.5333333333333333,False
hchA,2033859.0,2034710.0,ECK1963,b1967,4.8,10.1,2.1,3.3,5.9,1.8,5.1,26.5,5.2,3,3.0333333333333337,False
hcp,913037.0,911385.0,ECK0864,b0873,7.9,6.4,0.8,2.8,2.5,0.9,3.4,4.4,1.3,3,1.0,False
hcr,911373.0,910405.0,ECK0863,b0872,12.5,12.3,1.0,1.9,0.9,0.4,1.6,2.1,1.3,3,0.9,False
hda,2616798.0,2616097.0,ECK2492,b2496,98.7,68.8,0.7,114.6,57.2,0.5,136.0,49.8,0.4,3,0.5333333333333333,False
hdeA,3654763.0,3654431.0,ECK3494,b3510,68.9,114.0,1.7,19.7,47.8,2.4,32.2,49.4,1.5,3,1.8666666666666665,False
hdeB,3654315.0,3653989.0,ECK3493,b3509,24.8,51.2,2.1,2.9,35.8,12.5,18.2,37.7,2.1,3,5.566666666666666,False
hdeD,3655018.0,3655590.0,ECK3495,b3511,14.1,12.9,0.9,8.2,14.6,1.8,4.2,7.2,1.7,3,1.4666666666666668,False
hdfR,3945990.0,3945151.0,ECK3756,b4480,48.2,71.9,1.5,33.4,54.8,1.6,43.1,55.0,1.3,3,1.4666666666666668,False
hdhA,1696064.0,1695297.0,ECK1614,b1619,42.8,51.2,1.2,14.6,36.0,2.5,24.3,78.9,3.2,3,2.3000000000000003,False
helD,1023694.0,1025748.0,ECK0953,b0962,57.4,33.2,0.6,43.7,22.0,0.5,38.5,30.5,0.8,3,0.6333333333333334,False
hemA,1262937.0,1264193.0,ECK1198,b1210,92.0,38.1,0.4,104.9,47.9,0.5,99.7,52.3,0.5,3,0.4666666666666666,False
hemB,388951.0,387977.0,ECK0366,b0369,158.3,284.0,1.8,142.0,215.5,1.5,136.6,229.7,1.7,3,1.6666666666666667,False
hemC,3988789.0,3987848.0,ECK3799,b3805,241.2,309.2,1.3,173.8,160.8,0.9,186.6,197.4,1.1,3,1.1,False
hemD,3987851.0,3987111.0,ECK3798,b3804,154.2,40.7,0.3,109.8,22.6,0.2,126.1,25.0,0.2,3,0.2333333333333333,False
hemE,4195739.0,4196803.0,ECK3989,b3997,195.1,275.7,1.4,170.4,172.9,1.0,149.7,181.4,1.2,3,1.2,False
hemF,2551247.0,2552146.0,ECK2431,b2436,49.0,29.6,0.6,59.2,35.3,0.6,55.7,36.5,0.7,3,0.6333333333333333,False
hemG,4032631.0,4033176.0,ECK3842,b3850,98.9,91.6,0.9,77.1,90.4,1.2,107.1,88.5,0.8,3,0.9666666666666668,False
hemH,497279.0,498241.0,ECK0469,b0475,44.4,73.2,1.6,52.4,73.9,1.4,38.0,48.0,1.3,3,1.4333333333333333,False
hemL,174882.0,173602.0,ECK0153,b0154,312.9,570.3,1.8,300.8,489.4,1.6,277.5,333.7,1.2,3,1.5333333333333334,False
hemN,4050068.0,4051441.0,ECK3860,b3867,94.6,103.4,1.1,80.3,73.7,0.9,84.5,81.5,1.0,3,1.0,False
hemX,3987089.0,3985908.0,ECK3797,b3803,130.2,133.9,1.0,141.6,118.3,0.8,152.4,133.9,0.9,3,0.9,False
hemY,3985905.0,3984709.0,ECK3796,b3802,122.9,82.1,0.7,125.0,72.0,0.6,172.8,92.7,0.5,3,0.6,False
